16,2,1,motions,26,27,35
16,1,2,motions,13,15,25
16,0,4,as,0,3,12
16,4,0,as,49,53,59
16,3,5,a,36,39,48
16,5,3,a,60,67,73
16,6,7,of,74,84,86
16,7,6,of,87,95,97
17,2,7,motions,26,27,35
17,7,2,motions,87,94,97
17,0,1,thoughts,0,10,12
17,1,0,thoughts,13,20,25
17,3,4,of,36,38,48
17,4,3,of,49,50,59
17,5,6,indefinite,60,61,73
17,6,5,indefinite,74,77,86
18,2,3,of,26,33,35
18,3,2,of,36,38,48
18,0,1,thoughts,0,10,12
18,1,0,thoughts,13,20,25
18,4,5,orbits,49,55,59
18,5,4,orbits,60,70,73
18,6,7,of,74,84,86
18,7,6,of,87,95,97
19,2,4,of,26,33,35
19,4,2,of,49,50,59
19,0,1,thoughts,0,10,12
19,1,0,thoughts,13,20,25
19,3,5,a,36,39,48
19,5,3,a,60,67,73
19,6,7,of,74,84,86
19,7,6,of,87,95,97
20,2,5,of,26,33,35
20,5,2,of,60,60,73
20,0,1,thoughts,0,10,12
20,1,0,thoughts,13,20,25
20,3,4,of,36,38,48
20,4,3,of,49,50,59
20,6,7,of,74,84,86
20,7,6,of,87,95,97
21,2,6,of,26,33,35
21,6,2,of,74,84,86
21,0,1,thoughts,0,10,12
21,1,0,thoughts,13,20,25
21,3,4,of,36,38,48
21,4,3,of,49,50,59
21,5,7,of,60,60,73
21,7,5,of,87,95,97
22,2,7,of,26,33,35
22,7,2,of,87,95,97
22,0,1,thoughts,0,10,12
22,1,0,thoughts,13,20,25
22,3,4,of,36,38,48
22,4,3,of,49,50,59
22,5,6,indefinite,60,61,73
22,6,5,indefinite,74,77,86
24,3,5,a,36,39,48
24,5,3,a,60,67,73
24,0,1,thoughts,0,10,12
24,1,0,thoughts,13,20,25
24,2,4,of,26,33,35
24,4,2,of,49,50,59
24,6,7,of,74,84,86
24,7,6,of,87,95,97
25,3,6,a,36,39,48
25,6,3,a,74,81,86
25,0,1,thoughts,0,10,12
25,1,0,thoughts,13,20,25
25,2,4,of,26,33,35
25,4,2,of,49,50,59
25,5,7,of,60,60,73
25,7,5,of,87,95,97
26,3,5,a,36,39,48
26,5,3,a,60,67,73
26,0,1,thoughts,0,10,12
26,1,0,thoughts,13,20,25
26,2,4,of,26,33,35
26,4,2,of,49,50,59
26,6,7,of,74,84,86
26,7,6,of,87,95,97
27,3,6,a,36,39,48
27,6,3,a,74,81,86
27,0,1,thoughts,0,10,12
27,1,0,thoughts,13,20,25
27,2,4,of,26,33,35
27,4,2,of,49,50,59
27,5,7,of,60,60,73
27,7,5,of,87,95,97
28,3,6,curve,36,44,48
28,6,3,curve,74,83,86
28,0,1,thoughts,0,10,12
